sheet,date,cluster_id,centroid_value,nearest_d_value,row_index_in_date_group,row_number_in_output_sheet
all_2-1,20240406,0,0.4126282051282051,0.4087179487179487,2,3
all_2-1,20240407,0,0.41525641025641025,0.4087179487179487,2,3
all_2-1,20240408,0,0.6034615384615385,0.6194871794871795,5,6
all_2-1,20240409,0,0.6034615384615385,0.6194871794871795,5,6
all_2-1,20240410,0,0.6034615384615385,0.6194871794871795,5,6
all_2-1,20240411,0,0.6034615384615385,0.6194871794871795,5,6
all_2-1,20240412,0,0.6034615384615385,0.6194871794871795,5,6
all_2-1,20240413,0,0.34371794871794875,0.3574358974358974,5,6
all_2-1,20240414,0,0.34371794871794875,0.3574358974358974,5,6
all_2-1,20240415,0,0.37653846153846154,0.3969230769230769,2,3
all_2-1,20240416,0,0.37653846153846154,0.3969230769230769,2,3
all_2-1,20240417,0,0.35128205128205137,0.3323076923076923,3,4
all_2-1,20240418,0,0.35128205128205137,0.3323076923076923,3,4
all_2-1,20240419,0,0.35128205128205137,0.3323076923076923,3,4
all_2-1,20240420,0,0.3908974358974359,0.3994871794871795,1,2
all_2-1,20240421,0,0.38833333333333336,0.381025641025641,2,3
all_2-1,20240422,0,0.4023076923076923,0.3820512820512821,0,1
all_2-1,20240423,0,0.5510256410256411,0.5712820512820513,0,1
all_2-1,20240424,0,0.5510256410256411,0.5712820512820513,0,1
all_2-1,20240425,0,0.5510256410256411,0.5712820512820513,0,1
all_2-1,20240426,0,0.5030128205128206,0.4666666666666667,1,2
all_2-1,20240427,0,0.44128205128205134,0.438974358974359,2,3
all_2-1,20240428,0,0.38557692307692304,0.3948717948717949,5,6
all_2-1,20240429,0,0.42205128205128206,0.4025641025641025,1,2
all_2-1,20240430,0,0.4202564102564103,0.4025641025641025,1,2
all_2-1,20240430,1,0.6802564102564101,0.6717948717948717,3,4
all_2-1,20240501,0,0.3676923076923077,0.3687179487179487,4,5
all_2-1,20240501,1,0.37564102564102564,0.3753846153846154,1,2
all_2-1,20240501,2,0.4241025641025641,0.4143589743589743,0,1
all_2-1,20240501,3,0.6556410256410257,0.6841025641025641,2,3
all_2-1,20240502,0,0.37025641025641026,0.3687179487179487,4,5
all_2-1,20240502,1,0.42905982905982903,0.4338461538461539,7,8
all_2-1,20240502,2,0.6438461538461538,0.6841025641025641,2,3
all_2-1,20240503,0,0.32487179487179485,0.3497435897435898,5,6
all_2-1,20240504,0,0.1973076923076923,0.1974358974358974,1,2
all_2-1,20240504,1,0.4014102564102564,0.3979487179487179,3,4
all_2-1,20240505,0,0.1973076923076923,0.1974358974358974,1,2
all_2-1,20240505,1,0.39820512820512816,0.3979487179487179,3,4
all_2-1,20240506,0,0.1973076923076923,0.1974358974358974,1,2
all_2-1,20240506,1,0.4003846153846154,0.3979487179487179,3,4
all_2-1,20240507,0,0.2821794871794872,0.2866666666666667,5,6
all_2-1,20240508,0,0.2894871794871795,0.2866666666666667,5,6
all_2-1,20240509,0,0.3449358974358974,0.3476923076923077,5,6
all_2-1,20240510,0,0.3449358974358974,0.3476923076923077,5,6
all_2-1,20240511,0,0.296025641025641,0.3051282051282052,1,2
all_2-1,20240512,0,0.3078205128205128,0.3051282051282052,1,2
all_2-1,20240513,0,0.3004487179487179,0.2779487179487179,5,6
all_2-1,20240514,0,0.3004487179487179,0.2779487179487179,5,6
all_2-1,20240515,0,0.31064102564102564,0.3266666666666667,2,3
all_2-1,20240516,0,0.31064102564102564,0.3266666666666667,2,3
all_2-1,20240517,0,0.31064102564102564,0.3266666666666667,2,3
all_2-1,20240518,0,0.2224908424908425,0.2230769230769231,0,1
all_2-1,20240518,1,0.3738461538461538,0.3738461538461538,5,6
all_2-1,20240519,0,0.2224908424908425,0.2230769230769231,0,1
all_2-1,20240519,1,0.3738461538461538,0.3738461538461538,5,6
all_2-1,20240520,0,0.3371794871794872,0.3615384615384615,5,6
all_2-1,20240521,0,0.3371794871794872,0.3615384615384615,5,6
all_2-1,20240522,0,0.3371794871794872,0.3615384615384615,5,6
all_2-1,20240523,0,0.30070512820512824,0.2666666666666667,1,2
all_2-1,20240524,0,0.30070512820512824,0.2666666666666667,1,2
all_2-1,20240525,0,0.22192307692307695,0.2230769230769231,0,1
all_2-1,20240525,1,0.32294871794871793,0.3271794871794872,7,8
all_2-1,20240526,0,0.22192307692307695,0.2230769230769231,0,1
all_2-1,20240526,1,0.32294871794871793,0.3271794871794872,7,8
all_2-1,20240527,0,0.3138461538461539,0.3435897435897436,5,6
all_2-1,20240528,0,0.3138461538461539,0.3435897435897436,5,6
all_2-1,20240529,0,0.19794871794871793,0.2035897435897436,1,2
all_2-1,20240529,1,0.6581196581196581,0.6169230769230769,4,5
all_2-1,20240530,0,0.19794871794871793,0.2035897435897436,1,2
all_2-1,20240530,1,0.6581196581196581,0.6169230769230769,4,5
all_2-1,20240531,0,0.19794871794871793,0.2035897435897436,1,2
all_2-1,20240531,1,0.6581196581196581,0.6169230769230769,4,5
all_2-1,20240601,0,0.31724358974358974,0.3297435897435897,4,5
all_2-1,20240602,0,0.29096153846153844,0.3041025641025641,2,3
all_2-1,20240603,0,0.20205128205128206,0.1897435897435898,1,2
all_2-1,20240604,0,0.1987179487179487,0.2092307692307692,1,2
all_2-1,20240605,0,0.18724358974358976,0.1897435897435898,1,2
all_2-1,20240606,0,0.23762820512820512,0.2302564102564103,3,4
all_2-1,20240607,0,0.2423717948717949,0.2302564102564103,3,4
all_2-1,20240608,0,0.310448717948718,0.3066666666666667,6,7
all_2-1,20240609,0,0.3125,0.3066666666666667,6,7
all_2-1,20240610,0,0.2758974358974359,0.2779487179487179,4,5
all_2-1,20240611,0,0.3087179487179487,0.3035897435897436,5,6
all_2-1,20240612,0,0.2844871794871795,0.2728205128205128,0,1
all_2-1,20240613,0,0.2844871794871795,0.2728205128205128,0,1
all_2-1,20240614,0,0.24051282051282052,0.2297435897435898,7,8
all_2-1,20240614,1,0.5476923076923077,0.5569230769230769,3,4
all_2-1,20240615,0,0.21299145299145297,0.2061538461538461,6,7
all_2-1,20240615,1,0.2682051282051282,0.2666666666666667,1,2
all_2-1,20240616,0,0.21299145299145297,0.2061538461538461,6,7
all_2-1,20240616,1,0.2682051282051282,0.2666666666666667,1,2
all_2-1,20240617,0,0.2787820512820513,0.238974358974359,0,1
all_2-1,20240618,0,0.27641025641025646,0.3317948717948718,2,3
all_2-1,20240619,0,0.27641025641025646,0.3317948717948718,2,3
all_2-1,20240620,0,0.1194871794871795,0.1194871794871795,6,7
all_2-1,20240620,1,0.2940512820512821,0.2856410256410257,7,8
all_2-1,20240620,2,0.6628205128205129,0.6882051282051282,3,4
all_2-1,20240621,0,0.31647435897435905,0.3071794871794872,4,5
all_2-1,20240622,0,0.2837179487179487,0.2671794871794872,2,3
all_2-1,20240623,0,0.28269230769230763,0.2589743589743589,2,3
all_2-1,20240624,0,0.3294871794871795,0.2646153846153846,1,2
all_2-1,20240625,0,0.3294871794871795,0.2646153846153846,1,2
all_2-1,20240626,0,0.3294871794871795,0.2646153846153846,1,2
all_2-1,20240627,0,0.3294871794871795,0.2646153846153846,1,2
all_2-1,20240628,0,0.3264102564102564,0.2646153846153846,1,2
all_2-1,20240629,0,0.31467948717948724,0.3164102564102564,1,2
all_2-1,20240630,0,0.31467948717948724,0.3164102564102564,1,2
all_2-1,20240701,0,0.13102564102564104,0.1543589743589744,5,6
all_2-1,20240701,1,0.37341880341880346,0.3661538461538462,7,8
all_2-1,20240702,0,0.13102564102564104,0.1543589743589744,5,6
all_2-1,20240702,1,0.37341880341880346,0.3661538461538462,7,8
all_2-1,20240703,0,0.13102564102564104,0.1543589743589744,5,6
all_2-1,20240703,1,0.37341880341880346,0.3661538461538462,7,8
all_2-1,20240704,0,0.13102564102564104,0.1543589743589744,5,6
all_2-1,20240704,1,0.37341880341880346,0.3661538461538462,7,8
all_2-1,20240705,0,0.13102564102564104,0.1543589743589744,5,6
all_2-1,20240705,1,0.37341880341880346,0.3661538461538462,7,8
all_2-1,20240706,0,0.40389743589743593,0.4030769230769231,2,3
all_2-1,20240706,1,0.47726495726495727,0.4738461538461539,5,6
all_2-1,20240707,0,0.4061538461538462,0.4030769230769231,2,3
