sheet,date,cluster_id,distance_to_centroid,num_points,mean_d
all_1-0,2024-10-28,4,0.0967080545592316,8,0.21935897435897436
all_1-0,2024-10-29,7,0.1850036915240997,8,0.2894871794871795
all_1-0,2024-10-30,4,0.11601112046718322,8,0.22506410256410259
all_1-0,2024-10-31,7,0.17354382996049506,8,0.2930128205128205
all_1-0,2024-11-01,4,0.061984123008036164,8,0.19423076923076923
all_1-0,2024-11-02,7,0.19799066261379647,8,0.29846153846153844
all_1-0,2024-11-03,7,0.14653259420349204,8,0.3108974358974359
all_1-0,2024-11-04,7,0.1477336598262004,8,0.3075
all_1-0,2024-11-05,2,0.3766837730092705,8,0.34384615384615386
all_1-0,2024-11-06,2,0.3049116173425795,8,0.306474358974359
all_1-0,2024-11-07,2,0.30510609595869154,8,0.30653846153846154
all_1-0,2024-11-08,4,0.23047997283265034,8,0.15916666666666668
all_1-0,2024-11-09,5,0.11952159086294416,8,0.36403846153846153
all_1-0,2024-11-10,5,0.27156401817614556,8,0.3930128205128205
all_1-0,2024-11-11,6,0.3451018402400057,8,0.3766025641025641
all_1-0,2024-11-12,3,0.2608711261265902,8,0.21711538461538463
all_1-0,2024-11-13,7,0.2823080598416971,8,0.29160256410256413
all_1-0,2024-11-14,7,0.1755581949830436,8,0.3608974358974359
all_1-0,2024-11-15,7,0.1755581949830436,8,0.3608974358974359
all_1-0,2024-11-16,7,0.2785787644379376,8,0.41211538461538466
all_1-0,2024-11-17,7,0.2785787644379376,8,0.41211538461538466
all_1-0,2024-11-18,6,0.3005651535095954,8,0.5389102564102564
all_1-0,2024-11-19,6,0.3005651535095954,8,0.5389102564102564
all_1-0,2024-11-20,6,0.3005651535095954,8,0.5389102564102564
all_1-0,2024-11-21,6,0.3005651535095954,8,0.5389102564102564
all_1-0,2024-11-22,6,0.3005651535095954,8,0.5389102564102564
all_1-0,2024-11-23,7,0.07196573571794444,8,0.3219871794871795
all_1-0,2024-11-24,7,0.09995077609171467,8,0.3076923076923077
all_1-0,2024-11-25,7,0.18467555545301675,8,0.3868589743589743
all_1-0,2024-11-26,7,0.16037670796922604,8,0.379423076923077
all_1-0,2024-11-27,7,0.18467555545301675,8,0.3868589743589743
all_1-0,2024-11-28,7,0.18467555545301675,8,0.3868589743589743
all_1-0,2024-11-29,7,0.14048747466100647,8,0.3178846153846154
all_1-0,2024-11-30,6,0.20611821101273542,8,0.4111538461538462
all_1-0,2024-12-01,5,0.23570011779128916,8,0.37051282051282053
all_1-0,2024-12-02,7,0.2911255779708653,8,0.4211538461538461
all_1-0,2024-12-03,7,0.27026393869778803,8,0.41352564102564104
all_1-0,2024-12-04,5,0.1731666290505154,8,0.32782051282051283
all_1-0,2024-12-05,7,0.16507001528273482,8,0.36173076923076924
all_1-0,2024-12-06,7,0.17520702599763774,8,0.36410256410256414
all_1-0,2024-12-07,5,0.21173710185268232,8,0.368974358974359
all_1-0,2024-12-08,5,0.21173710185268232,8,0.368974358974359
all_1-0,2024-12-09,5,0.2872274304041044,8,0.3105128205128205
all_1-0,2024-12-10,5,0.17965144373502373,8,0.3588461538461538
all_1-0,2024-12-11,3,0.17338942307846386,8,0.27205128205128204
all_1-0,2024-12-12,3,0.17338942307846386,8,0.27205128205128204
all_1-0,2024-12-13,5,0.2754937324773,8,0.31256410256410255
all_1-0,2024-12-14,5,0.1861248797349968,8,0.3220512820512821
all_1-0,2024-12-15,5,0.16959186412848712,8,0.31096153846153846
all_1-0,2024-12-16,3,0.16727280202294834,8,0.2391025641025641
all_1-0,2024-12-17,3,0.18382393803779207,8,0.2673076923076923
all_1-0,2024-12-18,3,0.1614430699353502,8,0.2468589743589743
all_1-0,2024-12-19,3,0.16476255804221646,8,0.20301282051282052
all_1-0,2024-12-20,3,0.16557119502342632,8,0.2545512820512821
all_1-0,2024-12-21,5,0.16015215065116645,8,0.33608974358974364
all_1-0,2024-12-22,5,0.1320958142863623,8,0.3667948717948718
all_1-0,2024-12-23,3,0.11085329907710434,8,0.23685897435897435
all_1-0,2024-12-24,3,0.14103231346590353,8,0.2285897435897436
all_1-0,2024-12-25,3,0.17531046706603154,8,0.2235897435897436
