sheet,cluster_id,nearest_date,point_index_in_day,B,C,D_original
all_2-1,5,2024-11-23,2,6917,20241123B02,3.92
all_2-1,5,2024-11-23,3,6956,20241123B03,5.3
all_2-1,5,2024-11-23,4,6995,20241123B04,5.79
all_2-1,5,2024-11-23,5,7034,20241123B05,6.53
all_2-1,5,2024-11-23,6,7073,20241123B06,4.21
all_2-1,5,2024-11-23,7,7112,20241123B07,3.39
all_2-1,5,2024-11-23,8,7151,20241123B08,1.91
all_2-1,6,2024-06-01,1,14,20240601B01,9.39
all_2-1,6,2024-06-01,2,53,20240601B02,4.99
all_2-1,6,2024-06-01,3,92,20240601B03,5.93
all_2-1,6,2024-06-01,4,131,20240601B04,6.75
all_2-1,6,2024-06-01,5,170,20240601B05,6.43
all_2-1,6,2024-06-01,6,209,20240601B06,8
all_2-1,6,2024-06-01,7,248,20240601B07,3.02
all_2-1,6,2024-06-01,8,287,20240601B08,4.98
all_2-1,7,2024-04-30,1,9062,20240430B01,8.55
all_2-1,7,2024-04-30,2,9101,20240430B02,7.85
all_2-1,7,2024-04-30,3,9140,20240430B03,13.43
all_2-1,7,2024-04-30,4,9179,20240430B04,13.1
all_2-1,7,2024-04-30,5,9218,20240430B05,9.45
all_2-1,7,2024-04-30,6,9257,20240430B06,6.73
all_2-1,7,2024-04-30,7,9296,20240430B07,7.69
all_2-1,7,2024-04-30,8,9335,20240430B08,8.9
