total_clusters,cluster_id,member_days,representative_date,distance_to_center,raw_t1,raw_t2,raw_t3,raw_t4,raw_t5,raw_t6,raw_t7,raw_t8,raw_t9,raw_t10,raw_t11,raw_t12,raw_t13,raw_t14,raw_t15,raw_t16,raw_t17,raw_t18,raw_t19,raw_t20,raw_t21,raw_t22,raw_t23,raw_t24,raw_t25,raw_t26,raw_t27,raw_t28,raw_t29,raw_t30,raw_t31,raw_t32,raw_t33,raw_t34,raw_t35,raw_t36,raw_t37,raw_t38,raw_t39,raw_t40,raw_t41,raw_t42,raw_t43,raw_t44,raw_t45,raw_t46,raw_t47,raw_t48
50,12,11,2024-07-22,0.4176772362395879,10.84,10.26,10.11,10.12,10.1,9.75,9.75,9.86,10.1,10.1,10.12,10.26,9.78,9.07,8.52,7.47,11.38,9.78,10.0,9.78,9.78,9.41,8.87,8.37,6.89,8.0,8.78,8.83,7.89,10.26,12.38,13.6,20.41,23.0,25.54,30.0,30.0,30.0,30.0,25.0,21.43,22.0,21.26,19.66,19.54,16.15,16.15,11.45
50,13,2,2024-09-27,0.3950034308651496,9.75,9.53,9.47,9.47,9.53,9.64,9.7,9.7,9.7,9.7,9.9,9.96,9.9,9.7,9.1,8.33,6.0,7.0,9.25,9.25,9.25,9.25,9.25,9.25,9.0,8.0,5.01,6.0,7.0,7.98,8.0,14.04,15.24,18.47,19.44,19.44,18.61,16.99,18.14,15.13,12.97,12.04,11.46,10.69,11.66,11.42,11.0,10.34
50,14,4,2024-07-28,0.8100058005788234,11.25,12.29,11.25,10.83,10.57,10.74,10.57,10.82,10.82,10.82,10.82,10.76,10.84,10.56,10.45,9.5,9.61,9.84,9.25,6.01,7.29,6.0,5.34,5.34,5.34,6.0,7.0,5.34,1.0,3.0,5.34,5.34,5.34,12.5,14.87,19.44,23.15,23.65,22.95,22.22,21.73,21.06,20.41,19.39,17.48,16.89,16.14,10.57
50,15,17,2025-01-29,0.3690130133216021,10.7,10.85,10.15,10.85,10.85,10.66,11.41,11.58,11.85,11.67,12.46,13.28,13.62,15.04,15.68,15.04,15.04,14.98,14.89,13.73,11.49,11.49,11.79,11.01,9.05,9.0,9.76,10.14,10.19,10.19,12.46,13.41,13.78,14.4,15.45,16.04,16.32,16.15,15.75,16.0,16.53,16.33,15.84,15.0,14.7,13.68,13.49,11.67
50,16,14,2024-08-06,0.4816451400771198,16.0,12.94,12.48,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,10.37,10.37,10.37,12.78,11.01,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,13.99,14.0,19.0,20.86,22.96,22.82,23.92,25.62,26.45,24.36,21.18,21.18,20.58,20.27,18.32,18.0,15.04,12.8,12.91
50,17,20,2024-08-17,0.302068608133447,11.13,10.21,9.83,9.45,9.4,9.5,9.5,9.4,9.4,9.5,9.77,9.83,9.33,9.5,9.38,9.4,9.5,9.33,9.0,8.73,8.99,8.41,9.08,9.0,9.0,9.21,9.5,9.89,9.89,9.89,9.89,11.37,12.74,16.0,16.45,17.8,18.32,18.48,17.8,16.47,16.47,16.42,15.54,14.4,13.93,11.85,11.3,10.77
50,18,4,2024-05-07,0.765937215795775,8.56,8.18,8.34,8.3,8.56,9.5,9.67,10.11,10.48,10.3,10.78,10.38,9.5,8.52,8.18,8.0,8.5,8.18,7.65,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.09,8.39,8.87,10.89,11.59,12.79,15.06,16.09,15.32,14.43,12.79,12.78,11.4,11.0,10.11,10.0,9.66,8.59
50,19,4,2024-10-30,0.697643219572797,8.74,8.02,8.02,8.8,9.04,9.18,8.88,9.14,9.14,9.19,10.36,10.24,10.25,9.5,9.37,9.19,9.7,9.7,9.7,9.27,7.73,5.01,4.8,3.0,2.01,2.01,3.99,8.02,9.14,9.5,10.07,10.9,11.42,13.62,13.17,13.42,12.0,11.66,11.13,10.01,10.07,10.36,9.7,9.16,9.14,8.92,8.88,8.12
50,20,4,2025-01-11,0.4846437611540524,14.0,14.25,14.09,13.56,13.56,13.56,14.94,13.61,13.85,13.56,13.06,13.06,14.46,15.33,16.0,16.5,15.53,15.09,15.01,13.0,9.76,9.54,9.54,9.54,9.31,8.3,8.3,9.03,9.31,9.54,10.19,12.75,13.5,15.62,16.79,17.2,17.2,17.15,17.15,17.15,16.79,16.27,16.08,15.22,15.5,13.56,13.0,11.72
50,21,18,2024-09-22,0.3097326860281899,10.28,9.9,9.16,9.0,8.86,8.96,9.05,9.27,9.47,9.5,9.5,8.96,8.81,8.68,8.94,8.95,9.0,9.53,9.9,10.28,9.7,9.7,9.53,9.53,9.47,9.5,9.7,9.9,10.0,10.32,9.83,10.42,10.28,10.34,10.82,11.98,12.85,11.83,10.75,10.69,10.42,10.28,9.83,9.53,10.28,9.53,9.5,8.76
50,22,14,2025-01-12,0.4744962602409936,12.69,12.25,12.2,12.25,12.51,12.69,13.1,12.69,12.37,12.2,11.72,11.48,11.72,12.37,12.37,13.23,13.56,12.69,11.43,9.76,9.54,9.14,8.78,8.3,8.3,8.3,8.38,8.01,8.58,9.0,9.68,12.45,11.64,12.75,14.38,16.28,16.34,16.8,16.79,16.79,15.77,15.56,14.26,13.56,13.1,12.37,11.72,11.46
50,23,2,2025-02-24,0.8944318043629188,13.9,13.13,13.0,13.0,13.81,13.81,13.89,13.81,14.16,13.89,13.97,14.22,13.9,15.09,16.23,15.09,14.58,9.61,9.39,9.17,6.0,3.01,2.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,3.0,5.5,8.52,9.61,17.85,22.33,22.94,22.94,24.88,22.94,30.0,22.94,22.33,20.15,20.15,16.54,15.22,13.81
50,24,7,2025-02-11,0.7339986694837778,14.74,14.74,14.83,14.75,14.76,14.95,14.86,14.54,13.82,14.49,14.79,14.73,15.31,16.73,16.93,16.51,15.04,9.61,9.39,9.17,7.01,5.46,3.0,0.01,0.01,0.01,0.01,0.01,0.01,2.01,5.01,7.95,9.17,10.5,17.53,19.52,19.38,18.95,18.95,18.71,18.72,18.49,18.36,17.52,18.71,16.51,15.63,14.93
50,25,12,2024-08-31,0.4139377402265868,12.94,12.94,12.94,12.94,12.51,12.31,12.64,12.78,12.78,12.78,12.94,12.94,11.91,11.51,11.51,11.28,10.14,11.28,11.12,10.78,9.04,9.04,9.04,9.04,9.04,9.04,9.04,11.0,11.28,11.28,11.91,12.94,15.83,16.9,15.5,16.26,17.0,17.0,16.48,15.1,15.18,15.04,15.04,14.51,13.27,12.66,12.5,11.19
50,26,7,2025-01-19,0.609101450692874,9.77,9.54,9.13,9.24,9.77,10.0,10.0,10.0,10.13,10.13,10.15,10.15,10.44,11.3,12.26,10.19,10.19,10.19,10.19,5.3,6.0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,5.3,9.31,7.44,9.77,10.19,10.88,10.93,12.32,11.84,11.8,12.44,12.32,11.45,10.87,10.05,9.77,10.47,9.77
50,27,1,2025-03-26,0.0,6.16,5.0,1.0,5.0,5.46,6.15,7.39,7.5,7.8,7.8,9.38,9.38,9.38,8.41,7.8,7.8,6.14,4.71,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.46,7.8,8.83,8.83,9.38,10.57,10.88,10.84,10.1,10.09,10.0,9.71,9.38,9.38,9.09,9.38,7.5
50,28,4,2025-02-25,0.6338249623841284,13.81,14.08,13.54,13.52,14.22,14.82,15.59,15.27,16.38,16.0,16.19,15.03,19.38,22.72,30.0,18.06,21.02,18.23,9.39,9.17,9.04,7.19,3.0,0.01,0.01,0.01,0.01,0.01,0.01,2.01,7.19,9.17,9.39,10.01,15.5,20.34,20.0,20.34,20.34,19.25,19.25,19.25,19.0,17.48,17.69,14.67,14.69,13.31
50,29,7,2024-06-11,0.5467736276601548,11.01,11.0,10.78,10.77,10.77,11.2,11.55,11.74,11.75,12.4,12.01,11.42,10.44,9.87,8.9,8.95,8.05,6.48,4.57,5.0,1.0,2.0,0.5,0.5,0.01,0.01,3.0,7.98,8.01,6.03,8.51,10.44,11.43,14.0,14.46,16.19,17.16,17.51,17.16,16.91,15.13,16.0,14.89,13.13,13.0,11.0,10.41,9.11
