--- x2[i][j][t] nonzero ---
x2[2][3][21] = 0.10000000
x2[2][3][22] = 0.10000000
x2[2][3][23] = 0.10000000
x2[2][3][33] = 0.10000000
x2[2][3][36] = 0.10000000
x2[2][3][37] = 0.10000000
x2[3][1][0] = 0.10000000
x2[3][1][1] = 0.10000000
x2[3][1][2] = 0.10000000
x2[3][1][3] = 0.10000000
x2[3][1][4] = 0.10000000
x2[3][1][5] = 0.10000000
x2[3][1][6] = 0.10000000
x2[3][1][7] = 0.10000000
x2[3][1][8] = 0.10000000
x2[3][1][9] = 0.10000000
x2[3][1][10] = 0.10000000
x2[3][1][11] = 0.10000000
x2[3][1][14] = 0.10000000
x2[3][1][15] = 0.10000000
x2[3][1][16] = 0.10000000
x2[3][1][17] = 0.10000000
x2[3][1][30] = 0.10000000
x2[3][1][32] = 0.10000000
x2[3][1][34] = 0.10000000
x2[3][1][35] = 0.10000000
x2[3][2][13] = 0.10000000
x2[3][2][24] = 0.04327500
x2[3][2][25] = 0.10000000
x2[3][2][26] = 0.10000000
x2[3][2][27] = 0.10000000
x2[3][2][28] = 0.10000000
x2[3][2][29] = 0.10000000
x2[3][2][31] = 0.10000000
x2[3][3][12] = 0.10000000
x2[3][3][18] = 0.10000000
x2[3][3][19] = 0.10000000
x2[3][3][20] = 0.10000000
x2[3][3][21] = 0.10000000
x2[3][3][22] = 0.10000000
x2[3][3][23] = 0.08606250
x2[3][3][33] = 0.10000000
x2[3][3][36] = 0.10000000
x2[3][3][37] = 0.10000000
x2[4][1][0] = 0.10000000
x2[4][1][1] = 0.10000000
x2[4][1][2] = 0.10000000
x2[4][1][3] = 0.10000000
x2[4][1][4] = 0.10000000
x2[4][1][5] = 0.10000000
x2[4][1][6] = 0.10000000
x2[4][1][7] = 0.10000000
x2[4][1][8] = 0.10000000
x2[4][1][9] = 0.10000000
x2[4][1][10] = 0.10000000
x2[4][1][11] = 0.10000000
x2[4][1][14] = 0.10000000
x2[4][1][15] = 0.10000000
x2[4][1][16] = 0.10000000
x2[4][1][17] = 0.10000000
x2[4][1][30] = 0.10000000
x2[4][1][32] = 0.10000000
x2[4][1][34] = 0.10000000
x2[4][1][35] = 0.10000000
x2[4][2][13] = 0.10000000
x2[4][2][25] = 0.10000000
x2[4][2][26] = 0.10000000
x2[4][2][27] = 0.10000000
x2[4][2][28] = 0.10000000
x2[4][2][29] = 0.10000000
x2[4][2][31] = 0.10000000
x2[4][3][12] = 0.10000000
x2[4][3][18] = 0.10000000
x2[4][3][19] = 0.10000000
x2[4][3][20] = 0.10000000
x2[4][3][21] = 0.07163750
x2[4][3][22] = 0.02885000
x2[4][3][33] = 0.10000000
x2[4][3][36] = 0.10000000
x2[4][3][37] = 0.00739873
x2[5][1][0] = 0.10000000
x2[5][1][1] = 0.10000000
x2[5][1][2] = 0.10000000
x2[5][1][3] = 0.10000000
x2[5][1][4] = 0.10000000
x2[5][1][5] = 0.10000000
x2[5][1][6] = 0.10000000
x2[5][1][7] = 0.10000000
